b	eng	b	B	O	O
2	m	2	I	O	O
0	m	0	E	O	O
接	v	jie	B	O	O
入	v	ru	E	O	O
我	n	wo	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O
行	n	xing	S	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
回	v	hui	B	O	O
报	v	bao	E	O	O
：	x	：	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
平	v	ping	B	O	O
扫	v	sao	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
,	x	,	S	O	O
眼	n	yan	B	O	O
眶	n	kuang	E	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
,	x	,	S	O	O
右	f	you	B	O	DB
侧	f	ce	E	O	DI
眼	n	yan	B	O	DI
眶	n	kuang	E	O	DI
外	f	wai	S	O	DI
软	l	ruan	B	O	DI
组	l	zu	I	O	DI
织	l	zhi	E	O	DI
肿	v	zhong	B	SB	DI
胀	v	zhang	E	SE	DE
，	x	，	S	O	O
给	v	gei	B	O	O
予	v	yu	E	O	O
清	n	qing	B	O	O
创	n	chuang	E	O	O
缝	v	feng	B	O	O
合	v	he	E	O	O
，	x	，	S	O	O
破	i	po	B	O	O
伤	i	shang	I	O	O
风	i	feng	E	O	O
抗	nz	kang	B	O	O
毒	nz	du	I	O	O
素	nz	su	E	O	O
1	m	1	B	O	O
5	m	5	I	O	O
0	m	0	I	O	O
0	m	0	E	O	O
单	n	dan	B	O	O
位	n	wei	E	O	O
肌	n	ji	B	O	O
注	n	zhu	E	O	O
。	x	。	S	O	O
为	p	wei	S	O	O
进	d	jin	B	O	O
一	d	yi	I	O	O
步	d	bu	E	O	O
治	v	zhi	B	O	O
疗	v	liao	E	O	O
，	x	，	S	O	O
急	v	ji	B	O	O
诊	v	zhen	E	O	O
以	p	yi	S	O	O
左	m	zuo	S	DB	DB
眼	n	yan	B	DI	DI
眶	n	kuang	E	DI	DI
皮	n	pi	B	DI	DI
肤	n	fu	E	DI	DI
软	l	ruan	B	DI	DI
组	l	zu	I	DI	DI
织	l	zhi	E	DI	DI
裂	v	lie	B	DI	DI
伤	v	shang	E	DE	DI
多	m	duo	B	DB	DI
处	m	chu	E	DI	DI
软	l	ruan	B	DI	DI
组	l	zu	I	DI	DI
织	l	zhi	E	DI	DI
损	v	sun	B	DI	DI
伤	v	shang	E	DE	DI
头	n	tou	S	DB	DI
外	n	wai	B	DI	DI
伤	n	shang	E	DI	DI
后	f	hou	S	DI	DI
神	n	shen	B	DI	DI
经	n	jing	E	DI	DI
反	vn	fan	B	DI	DI
应	vn	ying	E	DE	DE
介	v	jie	B	O	O
绍	v	shao	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O
4	m	4	S	O	O
.	m	.	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	x	T	S	O	O
：	x	：	S	O	O
3	m	3	B	O	O
6	m	6	I	O	O
.	m	.	I	O	O
1	m	1	E	O	O
C	eng	C	B	O	O
P	eng	P	E	O	O
:	x	:	S	O	O
8	m	8	B	O	O
2	m	2	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
R	eng	R	S	O	O
：	x	：	S	O	O
2	m	2	B	O	O
0	m	0	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
B	eng	B	B	O	O
p	eng	p	E	O	O
：	x	：	S	O	O
1	m	1	B	O	O
4	m	4	I	O	O
0	m	0	E	O	O
/	x	/	S	O	O
8	m	8	B	O	O
0	m	0	I	O	O
m	eng	m	I	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
。	x	。	S	O	O
发	vn	fa	B	O	O
育	vn	yu	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
营	n	ying	B	O	O
养	n	yang	E	O	O
中	b	zhong	B	O	O
等	b	deng	E	O	O
，	x	，	S	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	a	qing	B	O	O
楚	a	chu	E	O	O
，	x	，	S	O	O
步	n	bu	B	O	O
入	n	ru	E	O	O
病	n	bing	B	O	O
房	n	fang	E	O	O
，	x	，	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
合	vn	he	B	O	O
作	vn	zuo	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
。	x	。	S	O	O
颈	ng	jing	B	SB	O
软	a	ruan	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
抵	vn	di	B	O	O
抗	vn	kang	E	O	O
。	x	。	S	O	O
气	n	qi	B	O	O
管	n	guan	E	O	O
居	v	ju	B	O	O
中	v	zhong	E	O	O
，	x	，	S	O	O
甲	l	jia	B	O	O
状	l	zhuang	I	O	O
腺	l	xian	E	O	O
无	v	wu	S	O	O
肿	v	zhong	B	SB	SB
大	v	da	E	SE	SE
。	x	。	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
动	n	dong	B	O	O
度	n	du	E	O	O
两	f	liang	B	O	O
侧	f	ce	E	O	O
均	a	jun	B	O	O
匀	a	yun	E	O	O
等	u	deng	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
增	v	zeng	B	O	O
强	v	qiang	E	O	O
及	c	ji	S	O	O
减	v	jian	B	O	O
弱	v	ruo	E	O	O
双	nr	shuang	B	O	O
侧	nr	ce	E	O	O
语	nr	yu	S	O	O
颤	v	zhan	S	O	O
无	v	wu	S	O	O
增	v	zeng	B	O	O
强	v	qiang	E	O	O
及	c	ji	S	O	O
减	v	jian	B	O	O
弱	v	ruo	E	O	O
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
皮	n	pi	B	O	O
下	n	xia	E	O	O
捻	zg	nian	S	O	O
发	n	fa	B	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
叩	vg	kou	B	O	O
音	n	yin	E	O	O
清	a	qing	S	O	O
，	x	，	S	O	O
肺	n	fei	B	O	O
肝	n	gan	E	O	O
相	d	xiang	B	O	O
对	d	dui	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
界	n	jie	S	O	O
位	v	wei	B	O	O
于	v	yu	E	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
锁	n	suo	B	O	O
骨	n	gu	E	O	O
中	n	zhong	B	O	O
线	n	xian	E	O	O
第	m	di	S	O	O
5	m	5	S	O	O
肋	n	lei	B	O	O
间	n	jian	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	B	O	O
清	n	qing	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
干	a	gan	B	O	O
湿	a	shi	E	O	O
性	n	xing	B	O	O
罗	n	luo	I	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
心	s	xin	B	O	O
前	s	qian	E	O	O
区	n	qu	S	O	O
无	v	wu	S	O	O
隆	v	long	B	SB	SB
起	v	qi	E	SE	SE
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
震	v	zhen	B	O	O
颤	v	zhan	E	O	O
，	x	，	S	O	O
叩	vg	kou	B	O	O
心	n	xin	I	O	O
界	n	jie	E	O	O
不	a	bu	B	O	O
大	a	da	E	O	O
，	x	，	S	O	O
心	n	xin	B	O	O
率	n	lv	E	O	O
8	m	8	B	O	O
2	m	2	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
瓣	n	ban	B	O	O
膜	n	mo	E	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
区	n	qu	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
平	a	ping	B	O	O
坦	a	tan	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
胃	n	wei	B	O	O
肠	n	chang	E	O	O
型	k	xing	S	O	O
及	c	ji	S	O	O
蠕	v	ru	B	O	O
动	v	dong	E	O	O
波	j	bo	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	O	O
壁	n	bi	E	O	O
静	l	jing	B	SB	SB
脉	l	mai	I	SI	SI
曲	l	qu	I	SI	SI
张	l	zhang	E	SE	SE
。	x	。	S	O	O
腹	ng	fu	B	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
肝	n	gan	B	O	O
脾	n	pi	I	O	O
未	d	wei	E	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
肿	v	zhong	B	SB	SB
大	v	da	E	SE	SE
，	x	，	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
无	l	wu	B	O	O
反	l	fan	E	O	O
跳	l	tiao	S	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
包	n	bao	B	O	O
块	n	kuai	E	O	O
。	x	。	S	O	O
叩	vg	kou	B	O	O
鼓	n	gu	I	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
亢	v	kang	B	O	O
进	v	jin	E	O	O
（	x	（	S	O	O
4	m	4	S	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
）	x	）	S	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
肋	n	lei	S	O	O
脊	n	ji	B	O	O
角	n	jiao	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
无	v	wu	S	O	O
隆	v	long	B	SB	SB
起	v	qi	E	SE	SE
，	x	，	S	O	O
双	m	shuang	S	O	O
肾	n	shen	B	O	O
区	n	qu	E	O	O
无	v	wu	S	O	O
叩	v	kou	B	O	O
击	v	ji	E	O	O
痛	a	tong	S	O	O
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
肿	n	zhong	B	SB	SB
块	n	kuai	E	SE	SE
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
沿	f	yan	S	O	O
输	n	shu	B	O	O
尿	n	niao	I	O	O
管	n	guan	E	O	O
走	n	zou	B	O	O
形	n	xing	E	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
耻	n	chi	B	O	O
骨	n	gu	E	O	O
上	f	shang	S	O	O
膀	n	bang	B	O	O
胱	n	guang	E	O	O
区	n	qu	S	O	O
无	v	wu	S	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
。	x	。	S	O	O
阴	n	yin	B	O	O
茎	n	jing	E	O	O
为	p	wei	S	O	O
成	n	cheng	B	O	O
人	n	ren	I	O	O
型	n	xing	E	O	O
，	x	，	S	O	O
尿	n	niao	B	O	O
道	n	dao	E	O	O
外	n	wai	B	O	O
口	n	kou	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
及	c	ji	S	O	O
狭	a	xia	B	SB	SB
窄	a	zhai	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
分	n	fen	B	O	O
泌	n	mi	I	O	O
物	n	wu	E	O	O
。	x	。	S	O	O
两	f	liang	B	O	O
侧	f	ce	E	O	O
阴	n	yin	B	O	O
囊	n	nang	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
触	n	chu	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
睾	n	gao	B	O	O
丸	n	wan	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
，	x	，	S	O	O
质	n	zhi	B	O	O
地	n	di	E	O	O
中	b	zhong	B	O	O
等	b	deng	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
触	n	chu	B	O	O
痛	n	tong	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
附	n	fu	B	O	O
睾	n	gao	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
结	n	jie	B	O	O
节	n	jie	E	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	O	SB
形	n	xing	E	O	SE
，	x	，	S	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
自	r	zi	B	O	O
如	r	ru	E	O	O
。	x	。	S	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
肌	n	ji	B	O	O
力	n	li	E	O	O
，	x	，	S	O	O
肌	n	ji	S	O	O
张	n	zhang	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	n	ce	E	O	O
肱	n	gong	S	O	O
二	m	er	B	O	O
三	m	san	E	O	O
头	n	tou	S	O	O
肌	n	ji	B	O	O
及	c	ji	E	O	O
跟	p	gen	S	O	O
膝	n	xi	B	O	O
腱	n	jian	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
存	v	cun	B	O	O
在	v	zai	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
B	eng	B	B	O	O
a	eng	a	I	O	O
b	eng	b	I	O	O
i	eng	i	I	O	O
n	eng	n	I	O	O
s	eng	s	I	O	O
k	eng	k	I	O	O
i	eng	i	E	O	O
征	v	zheng	B	O	O
及	v	ji	E	O	O
克	q	ke	S	O	O
氏	n	shi	B	O	O
症	n	zheng	E	O	O
均	d	jun	S	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
5	x	5	S	O	O

专	n	zhuan	B	O	O
科	n	ke	E	O	O
情	n	qing	B	O	O
况	n	kuang	E	O	O
：	x	：	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
五	n	wu	B	O	O
官	n	guan	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	O	SB
形	n	xing	E	O	SE
，	x	，	S	O	O
左	nr	zuo	B	O	O
眉	nr	mei	I	O	O
弓	nr	gong	E	O	O
上	f	shang	B	O	O
方	f	fang	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	S	O	O
横	v	heng	B	O	O
行	v	xing	E	O	O
裂	n	lie	B	O	O
口	n	kou	E	O	O
已	d	yi	S	O	O
缝	v	feng	B	O	O
合	v	he	E	O	O
。	x	。	S	O	O
旁	f	pang	B	O	O
边	f	bian	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	S	O	O
擦	v	ca	B	O	O
伤	v	shang	E	O	O
，	x	，	S	O	O
约	d	yue	S	O	O
1	m	1	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
㎝	x	㎝	S	O	O
*	x	*	S	O	O
1	m	1	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
㎝	x	㎝	S	O	O
大	b	da	B	O	O
小	b	xiao	E	O	O
。	x	。	S	O	O
右	n	you	B	O	O
眼	n	yan	E	O	O
下	f	xia	B	O	O
方	f	fang	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
青	nr	qing	B	SB	SB
紫	nr	zi	E	SI	SI
肿	v	zhong	B	SI	SI
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
面	n	mian	B	O	O
积	n	ji	E	O	O
约	d	yue	S	O	O
4	m	4	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
㎝	x	㎝	S	O	O
*	x	*	S	O	O
3	m	3	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
㎝	x	㎝	S	O	O
大	b	da	B	O	O
小	b	xiao	E	O	O
。	x	。	S	O	O
左	nr	zuo	B	O	O
耳	nr	er	E	O	O
前	f	qian	B	O	O
方	f	fang	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	S	O	O
擦	v	ca	B	O	O
伤	v	shang	E	O	O
，	x	，	S	O	O
面	n	mian	B	O	O
积	n	ji	E	O	O
约	d	yue	S	O	O
1	m	1	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
㎝	x	㎝	S	O	O
*	x	*	S	O	O
0	m	0	B	O	O
.	m	.	I	O	O
5	m	5	E	O	O
㎝	x	㎝	S	O	O
大	b	da	B	O	O
小	b	xiao	E	O	O
。	x	。	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
臂	n	bi	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
均	d	jun	S	O	O
不	d	bu	S	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
触	n	chu	B	O	O
痛	n	tong	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
自	r	zi	B	O	O
如	r	ru	E	O	O
。	x	。	S	O	O
6	x	6	S	O	O

辅	vn	fu	B	O	O
助	vn	zhu	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
：	x	：	S	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
回	v	hui	B	O	O
报	v	bao	E	O	O
：	x	：	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
平	v	ping	B	O	O
扫	v	sao	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
,	x	,	S	O	O
眼	n	yan	B	O	O
眶	n	kuang	E	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
,	x	,	S	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
眼	n	yan	B	O	O
眶	n	kuang	E	O	O
外	f	wai	S	O	O
软	l	ruan	B	O	O
组	l	zu	I	O	O
织	l	zhi	E	O	O
肿	v	zhong	B	SB	O
胀	v	zhang	E	SE	O
。	x	。	S	O	O

1	m	1	S	O	O
.	m	.	S	O	O
老	t	lao	B	O	O
年	t	nian	E	O	O
男	n	nan	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
既	t	ji	B	O	O
往	t	wang	E	O	O
有	v	you	S	O	O
糖	n	tang	B	DB	DB
尿	n	niao	I	DI	DI
病	n	bing	E	DE	DE
6	m	6	S	O	O
年	m	nian	S	O	O
，	x	，	S	O	O
冠	n	guan	B	DB	DB
心	n	xin	I	DI	DI
病	n	bing	E	DE	DE
史	nr	shi	S	O	O
2	m	2	B	O	O
0	m	0	E	O	O
余	m	yu	B	O	O
年	m	nian	E	O	O
，	x	，	S	O	O
否	v	fou	B	O	O
认	v	ren	E	O	O
传	n	chuan	B	O	DB
染	n	ran	I	O	DI
病	n	bing	E	O	DE
史	nr	shi	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
磺	nz	huang	B	O	O
胺	nz	an	I	O	O
类	nz	lei	E	O	O
药	n	yao	B	O	O
物	n	wu	E	O	O
过	nr	guo	B	O	O
敏	nr	min	E	O	O
。	x	。	S	O	O
年	t	nian	B	O	O
前	t	qian	E	O	O
左	m	zuo	S	O	O
下	n	xia	B	O	O
肢	n	zhi	E	O	O
外	n	wai	B	O	O
伤	n	shang	E	O	O
后	f	hou	B	O	O
行	v	xing	E	O	O
左	m	zuo	S	O	O
大	n	da	B	O	O
腿	n	tui	E	O	O
中	n	zhong	B	O	O
下	n	xia	E	O	O
段	n	duan	S	O	O
截	n	jie	B	O	O
肢	n	zhi	E	O	O
手	n	shou	B	O	O
术	n	shu	E	O	O
，	x	，	S	O	O
有	v	you	S	O	O
输	v	shu	B	O	O
血	v	xie	E	O	O
史	nr	shi	S	O	O
。	x	。	S	O	O
2	m	2	S	O	O
.	m	.	S	O	O
缘	p	yuan	B	O	O
于	p	yu	E	O	O
5	x	5	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
前	f	qian	S	O	O
和	c	he	S	O	O
他	r	ta	B	O	O
人	r	ren	E	O	O
发	v	fa	B	O	O
生	v	sheng	E	O	O
口	n	kou	B	O	O
角	n	jiao	E	O	O
后	f	hou	S	O	O
，	x	，	S	O	O
被	p	bei	S	O	O
人	n	ren	B	O	O
用	n	yong	E	O	O
刀	n	dao	B	O	O
扎	v	zha	I	O	O
伤	v	shang	E	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
，	x	，	S	O	O
伤	v	shang	B	O	O
后	f	hou	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
出	v	chu	B	O	SB
血	v	xie	E	O	SE
，	x	，	S	O	O
胸	n	xiong	B	SB	SB
痛	n	tong	E	SE	SE
伴	v	ban	S	O	O
胸	n	xiong	B	SB	O
闷	n	men	E	SE	O
气	n	qi	B	SB	O
短	n	duan	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
呼	l	hu	B	SB	O
吸	l	xi	I	SI	O
困	l	kun	I	SI	O
难	l	nan	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	SB	SB
痛	n	tong	E	SE	SE
及	c	ji	S	O	O
腹	v	fu	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
伤	v	shang	S	O	O
后	t	hou	B	O	O
来	t	lai	E	O	O
我	n	wo	B	O	O
院	n	yuan	E	O	O
行	zg	xing	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
正	n	zheng	B	O	O
位	n	wei	E	O	O
D	eng	D	B	O	O
R	eng	R	E	O	O
片	q	pian	S	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
：	x	：	S	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O
给	v	gei	B	O	O
予	v	yu	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
创	n	chuang	B	O	O
口	n	kou	E	O	O
清	n	qing	B	O	O
创	n	chuang	E	O	O
缝	v	feng	B	O	O
合	v	he	E	O	O
后	f	hou	S	O	O
，	x	，	S	O	O
生	vn	sheng	B	O	O
命	vn	ming	E	O	O
体	n	ti	B	O	O
征	n	zheng	E	O	O
平	a	ping	B	O	O
稳	a	wen	E	O	O
，	x	，	S	O	O
为	p	wei	S	O	O
进	d	jin	B	O	O
一	d	yi	I	O	O
步	d	bu	E	O	O
治	v	zhi	B	O	O
疗	v	liao	E	O	O
，	x	，	S	O	O
急	v	ji	B	O	O
诊	v	zhen	E	O	O
以	p	yi	B	O	O
右	f	you	E	DB	DB
胸	n	xiong	B	DI	DI
部	n	bu	E	DI	DI
外	n	wai	B	DI	DI
伤	n	shang	E	DE	DE
收	v	shou	S	O	O
住	n	zhu	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
自	p	zi	S	O	O
外	n	wai	B	O	O
伤	n	shang	E	O	O
以	f	yi	B	O	O
来	f	lai	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
抽	v	chou	B	SB	O
搐	v	chu	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
大	nr	da	B	O	O
小	nr	xiao	I	O	O
便	nr	bian	E	O	O
失	v	shi	B	O	O
禁	v	jin	E	O	O
。	x	。	S	O	O
3	m	3	S	O	O
.	m	.	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	x	T	S	O	O
：	x	：	S	O	O
3	m	3	B	O	O
6	m	6	I	O	O
.	m	.	I	O	O
0	m	0	E	O	O
℃	x	℃	S	O	O
，	x	，	S	O	O
P	x	P	S	O	O
：	x	：	S	O	O
6	m	6	B	O	O
8	m	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
R	x	R	S	O	O
：	x	：	S	O	O

1	m	1	B	O	O
8	m	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
B	eng	B	B	O	O
P	eng	P	E	O	O
：	x	：	S	O	O
1	m	1	B	O	O
4	m	4	I	O	O
0	m	0	E	O	O
/	x	/	S	O	O
8	m	8	B	O	O
0	m	0	I	O	O
m	eng	m	I	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
，	x	，	S	O	O
发	vn	fa	B	O	O
育	vn	yu	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
,	x	,	S	O	O
营	n	ying	B	O	O
养	n	yang	E	O	O
中	b	zhong	B	O	O
等	b	deng	E	O	O
，	x	，	S	O	O
轮	n	lun	B	O	O
椅	n	yi	E	O	O
推	v	tui	B	O	O
入	v	ru	E	O	O
病	n	bing	B	O	O
室	n	shi	E	O	O
，	x	，	S	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	a	qing	B	O	O
楚	a	chu	E	O	O
，	x	，	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
合	vn	he	B	O	O
作	vn	zuo	E	O	O
。	x	。	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
