b	b	O	O
部	bu	O	O
创	chuang	O	O
口	kou	O	O
清	qing	O	O
创	chuang	O	O
缝	feng	O	O
合	he	O	O
后	hou	O	O
，	，	O	O
生	sheng	O	O
命	ming	O	O
体	ti	O	O
征	zheng	O	O
平	ping	O	O
稳	wen	O	O
，	，	O	O
为	wei	O	O
进	jin	O	O
一	yi	O	O
步	bu	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
急	ji	O	O
诊	zhen	O	O
以	yi	O	O
右	you	DB	DB
胸	xiong	DI	DI
部	bu	DI	DI
外	wai	DI	DI
伤	shang	DE	DE
收	shou	O	O
住	zhu	O	O
院	yuan	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
自	zi	O	O
外	wai	O	O
伤	shang	O	O
以	yi	O	O
来	lai	O	O
，	，	O	O
无	wu	O	O
抽	chou	SB	O
搐	chu	SE	O
，	，	O	O
无	wu	O	O
大	da	O	O
小	xiao	O	O
便	bian	O	O
失	shi	O	O
禁	jin	O	O
。	。	O	O
3	3	O	O
.	.	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
：	：	O	O
3	3	O	O
6	6	O	O
.	.	O	O
0	0	O	O
℃	℃	O	O
，	，	O	O
P	P	O	O
：	：	O	O
6	6	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
R	R	O	O
：	：	O	O

1	1	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
B	B	O	O
P	P	O	O
：	：	O	O
1	1	O	O
4	4	O	O
0	0	O	O
/	/	O	O
8	8	O	O
0	0	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
，	，	O	O
发	fa	O	O
育	yu	O	O
正	zheng	O	O
常	chang	O	O
,	,	O	O
营	ying	O	O
养	yang	O	O
中	zhong	O	O
等	deng	O	O
，	，	O	O
轮	lun	O	O
椅	yi	O	O
推	tui	O	O
入	ru	O	O
病	bing	O	O
室	shi	O	O
，	，	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
头	tou	O	O
颅	lu	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
等	deng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
,	,	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
右	you	O	O
侧	ce	O	O
胸	xiong	O	O
壁	bi	O	O
腋	yi	O	O
前	qian	O	O
线	xian	O	O
内	nei	O	O
侧	ce	O	O
见	jian	O	O
长	chang	O	O
约	yue	O	O
1	1	O	O
.	.	O	O
5	5	O	O
c	c	O	O
m	m	O	O
缝	feng	O	O
合	he	O	O
伤	shang	O	O
口	kou	O	O
，	，	O	O
胸	xiong	O	O
壁	bi	O	O
局	ju	O	O
部	bu	O	O
软	ruan	O	O
组	zu	O	O
织	zhi	O	O
肿	zhong	SB	O
胀	zhang	SE	O
明	ming	O	O
显	xian	O	O
，	，	O	O
局	ju	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
双	shuang	O	O
肺	fei	O	O
叩	kou	O	O
清	qing	O	O
音	yin	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
湿	shi	O	O
性	xing	O	O
啰	luo	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
左	zuo	O	O
下	xia	O	O
肢	zhi	O	O
为	wei	O	O
假	jia	O	O
肢	zhi	O	O
，	，	O	O
右	you	O	O
侧	ce	O	O
病	bing	O	O
理	li	O	O
征	zheng	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
。	。	O	O
4	4	O	O
.	.	O	O
门	men	O	O
诊	zhen	O	O
资	zi	O	O
料	liao	O	O
：	：	O	O
本	ben	O	O
院	yuan	O	O
胸	xiong	O	O
部	bu	O	O
正	zheng	O	O
位	wei	O	O
D	D	O	O
R	R	O	O
片	pian	O	O
检	jian	O	O
查	cha	O	O
未	wei	O	O
见	jian	O	O
明	ming	O	O
显	xian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
缘	yuan	O	O
于	yu	O	O
1	1	O	O
小	xiao	O	O
时	shi	O	O
前	qian	O	O
被	bei	O	O
他	ta	O	O
人	ren	O	O
拳	quan	O	O
打	da	O	O
脚	jiao	O	O
踢	ti	O	O
致	zhi	O	O
伤	shang	O	O
头	tou	O	O
面	mian	O	O
部	bu	O	O
及	ji	O	O
前	qian	O	O
胸	xiong	O	O
部	bu	O	O
，	，	O	O
伤	shang	O	O
后	hou	O	O
头	tou	SB	O
痛	tong	SE	O
、	、	O	O
头	tou	SB	SB
晕	yun	SE	SE
，	，	O	O
恶	e	SB	SB
心	xin	SE	SE
，	，	O	O
无	wu	O	O
意	yi	O	O
识	shi	O	O
丧	sang	O	O
失	shi	O	O
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
无	wu	O	O
腹	fu	SB	SB
痛	tong	SE	SE
，	，	O	O
未	wei	O	O
见	jian	O	O
肉	rou	O	O
眼	yan	O	O
血	xie	SB	O
尿	niao	SE	O
。	。	O	O
当	dang	O	O
时	shi	O	O
未	wei	O	O
做	zuo	O	O
任	ren	O	O
何	he	O	O
处	chu	O	O
理	li	O	O
，	，	O	O
急	ji	O	O
来	lai	O	O
我	wo	O	O
院	yuan	O	O
，	，	O	O
急	ji	O	O
诊	zhen	O	O
检	jian	O	O
查	cha	O	O
后	hou	O	O
以	yi	O	O
头	tou	DB	DB
外	wai	DI	DI
伤	shang	DI	DI
后	hou	DI	DI
神	shen	DI	DI
经	jing	DI	DI
反	fan	DI	DI
应	ying	DE	DE
收	shou	O	O
入	ru	O	O
我	wo	O	O
科	ke	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
自	zi	O	O
伤	shang	O	O
后	hou	O	O
精	jing	O	O
神	shen	O	O
差	cha	O	O
，	，	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
入	ru	O	O
院	yuan	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
体	ti	O	O
温	wen	O	O
：	：	O	O
3	3	O	O
6	6	O	O
.	.	O	O
8	8	O	O
℃	℃	O	O
，	，	O	O
脉	mai	O	O
搏	bo	O	O
：	：	O	O
1	1	O	O
0	0	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
。	。	O	O
呼	hu	O	O
吸	xi	O	O
2	2	O	O
0	0	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
、	、	O	O
血	xie	O	O
压	ya	O	O
：	：	O	O
1	1	O	O
6	6	O	O
0	0	O	O
/	/	O	O
7	7	O	O
0	0	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
。	。	O	O
发	fa	O	O
育	yu	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
营	ying	O	O
养	yang	O	O
中	zhong	O	O
等	deng	O	O
，	，	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
表	biao	O	O
情	qing	O	O
痛	tong	O	O
苦	ku	O	O
，	，	O	O
轮	lun	O	O
椅	yi	O	O
推	tui	O	O
入	ru	O	O
病	bing	O	O
室	shi	O	O
，	，	O	O
自	zi	O	O
动	dong	O	O
体	ti	O	O
位	wei	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
皮	pi	O	O
肤	fu	O	O
、	、	O	O
粘	zhan	O	O
膜	mo	O	O
无	wu	O	O
黄	huang	SB	SB
染	ran	SE	SE
；	；	O	O
未	wei	O	O
见	jian	O	O
出	chu	SB	SB
血	xie	SI	SI
点	dian	SE	SE
及	ji	O	O
瘀	yu	SB	SB
斑	ban	SE	SE
，	，	O	O
周	zhou	O	O
身	shen	O	O
浅	qian	O	O
表	biao	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
。	。	O	O
头	tou	O	O
顶	ding	O	O
部	bu	O	O
可	ke	O	O
见	jian	O	O
多	duo	O	O
处	chu	O	O
伤	shang	O	O
后	hou	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
无	wu	O	O
出	chu	SB	SB
血	xie	SE	SE
，	，	O	O
无	wu	O	O
皮	pi	O	O
肤	fu	O	O
破	po	SB	O
损	sun	SE	O
，	，	O	O
压	ya	O	O
痛	tong	O	O
阳	yang	O	O
性	xing	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
波	bo	O	O
动	dong	O	O
感	gan	O	O
。	。	O	O
眼	yan	O	O
睑	jian	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
及	ji	O	O
下	xia	O	O
垂	chui	O	O
，	，	O	O
巩	gong	O	O
膜	mo	O	O
无	wu	O	O
黄	huang	SB	SB
染	ran	SE	SE
，	，	O	O
结	jie	O	O
膜	mo	O	O
无	wu	O	O
充	chong	SB	O
血	xie	SE	O
或	huo	O	O
苍	cang	SB	O
白	bai	SE	O
；	；	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
等	deng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
径	jing	O	O
约	yue	O	O
3	3	O	O
m	m	O	O
m	m	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
应	ying	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
耳	er	O	O
、	、	O	O
鼻	bi	O	O
、	、	O	O
喉	hou	O	O
腔	qiang	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
无	wu	O	O
异	yi	O	O
常	chang	O	O
分	fen	O	O
泌	mi	O	O
物	wu	O	O
；	；	O	O
唇	chun	O	O
无	wu	O	O
发	fa	SB	O
绀	gan	SE	O
，	，	O	O
无	wu	O	O
咽	yan	O	O
红	hong	O	O
及	ji	O	O
扁	bian	O	O
桃	tao	O	O
腺	xian	O	O
肿	zhong	SB	O
大	da	SE	O
。	。	O	O
颈	jing	O	O
部	bu	O	O
对	dui	O	O
称	cheng	O	O
、	、	O	O
软	ruan	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
，	，	O	O
气	qi	O	O
管	guan	O	O
居	ju	O	O
中	zhong	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
甲	jia	O	O
状	zhuang	O	O
腺	xian	O	O
肿	zhong	SB	O
大	da	SE	O
，	，	O	O
无	wu	O	O
颈	jing	O	O
静	jing	O	O
脉	mai	O	O
怒	nu	SB	SB
张	zhang	SE	SE
及	ji	O	O
颈	jing	O	O
动	dong	O	O
脉	mai	O	O
异	yi	SB	SB
常	chang	SI	SI
波	bo	SI	SI
动	dong	SE	SE
。	。	O	O
胸	xiong	O	O
廓	kuo	O	O
外	wai	O	O
观	guan	O	O
正	zheng	O	O
常	chang	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
双	shuang	O	O
侧	ce	O	O
语	yu	O	O
颤	zhan	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
等	deng	O	O
强	qiang	O	O
，	，	O	O
叩	kou	O	O
呈	cheng	O	O
清	qing	O	O
音	yin	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
晰	xi	O	O
，	，	O	O
未	wei	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
啰	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
尖	jian	O	O
搏	bo	O	O
动	dong	O	O
位	wei	O	O
于	yu	O	O
左	zuo	O	O
第	di	O	O
五	wu	O	O
肋	lei	O	O
间	jian	O	O
锁	suo	O	O
骨	gu	O	O
中	zhong	O	O
线	xian	O	O
内	nei	O	O
0	0	O	O
.	.	O	O
5	5	O	O
c	c	O	O
m	m	O	O
，	，	O	O
无	wu	O	O
抬	tai	O	O
举	ju	O	O
性	xing	O	O
，	，	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
扩	kuo	O	O
大	da	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
1	1	O	O
0	0	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
及	ji	O	O
病	bing	O	O
理	li	O	O
性	xing	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
软	ruan	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
、	、	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
。	。	O	O
肝	gan	O	O
脾	pi	O	O
肋	lei	O	O
下	xia	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
异	yi	O	O
常	chang	O	O
包	bao	O	O
块	kuai	O	O
。	。	O	O
腹	fu	O	O
叩	kou	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
；	；	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
高	gao	O	O
调	diao	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
及	ji	O	O
气	qi	O	O
过	guo	O	O
水	shui	O	O
声	sheng	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
生	sheng	O	O
理	li	O	O
弯	wan	O	O
曲	qu	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
侧	ce	O	O
弯	wan	O	O
及	ji	O	O
后	hou	SB	O
突	tu	SI	O
畸	ji	SI	SB
形	xing	SE	SE
，	，	O	O
各	ge	O	O
椎	zhui	O	O
体	ti	O	O
棘	ji	O	O
突	tu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
及	ji	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
。	。	O	O
脊	ji	O	O
肋	lei	O	O
角	jiao	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肛	gang	O	O
门	men	O	O
外	wai	O	O
生	sheng	O	O
殖	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
。	。	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
各	ge	O	O
关	guan	O	O
节	jie	O	O
活	huo	O	O
动	dong	O	O
正	zheng	O	O
常	chang	O	O
；	；	O	O
肌	ji	O	O
力	li	O	O
肌	ji	O	O
张	zhang	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
；	；	O	O
肱	gong	O	O
二	er	O	O
、	、	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
，	，	O	O
跟	gen	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
巴	ba	O	O
氏	shi	O	O
等	deng	O	O
病	bing	O	O
理	li	O	O
反	fan	O	O
射	she	O	O
征	zheng	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
。	。	O	O
辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
0	0	O	O
3	3	O	O
-	-	O	O
2	2	O	O
2	2	O	O
我	wo	O	O
院	yuan	O	O
：	：	O	O
盆	pen	O	O
骨	gu	O	O
D	D	O	O
R	R	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
改	gai	O	O
变	bian	O	O
。	。	O	O
腰	yao	O	O
椎	zhui	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
头	tou	O	O
颅	lu	O	O
C	C	O	O
T	T	O	O
平	ping	O	O
扫	sao	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
胸	xiong	O	O
部	bu	O	O
C	C	O	O
T	T	O	O
平	ping	O	O
扫	sao	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O

1	1	O	O
.	.	O	O
患	huan	O	O
者	zhe	O	O
张	zhang	O	O
月	yue	O	O
娟	juan	O	O
，	，	O	O
女	nv	O	O
性	xing	O	O
，	，	O	O
4	4	O	O
8	8	O	O
岁	sui	O	O
，	，	O	O
既	ji	O	O
往	wang	O	O
冠	guan	DB	DB
心	xin	DI	DI
病	bing	DE	DE
史	shi	O	O
。	。	O	O
2	2	O	O

患	huan	O	O
者	zhe	O	O
缘	yuan	O	O
于	yu	O	O
2	2	O	O
小	xiao	O	O
时	shi	O	O
前	qian	O	O
，	，	O	O
被	bei	O	O
人	ren	O	O
打	da	O	O
伤	shang	O	O
头	tou	O	O
颈	jing	O	O
胸	xiong	O	O
部	bu	O	O
，	，	O	O
右	you	O	O
上	shang	O	O
肢	zhi	O	O
及	ji	O	O
右	you	O	O
膝	xi	O	O
，	，	O	O
伤	shang	O	O
后	hou	O	O
头	tou	SB	O
痛	tong	SE	O
、	、	O	O
头	tou	SB	SB
晕	yun	SE	SE
，	，	O	O
恶	e	SB	SB
心	xin	SE	SE
，	，	O	O
口	kou	O	O
唇	chun	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
颈	jing	O	O
胸	xiong	O	O
部	bu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
右	you	O	O
上	shang	O	O
肢	zhi	O	O
及	ji	O	O
右	you	O	O
膝	xi	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
无	wu	O	O
意	yi	O	O
识	shi	O	O
障	zhang	O	O
碍	ai	O	O
，	，	O	O
来	lai	O	O
我	wo	O	O
院	yuan	O	O
急	ji	O	O
诊	zhen	O	O
科	ke	O	O
就	jiu	O	O
诊	zhen	O	O
。	。	O	O
急	ji	O	O
诊	zhen	O	O
检	jian	O	O
查	cha	O	O
头	tou	O	O
颅	lu	O	O
C	C	O	O
T	T	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
未	wei	O	O
予	yu	O	O
药	yao	O	O
物	wu	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
疼	teng	SB	O
痛	tong	SE	O
无	wu	O	O
好	hao	O	O
转	zhuan	O	O
，	，	O	O
急	ji	O	O
诊	zhen	O	O
以	yi	O	O
多	duo	DB	DB
处	chu	DI	DI
软	ruan	DI	DI
组	zu	DI	DI
织	zhi	DI	DI
损	sun	DI	DI
伤	shang	DE	DE
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
自	zi	O	O
受	shou	O	O
伤	shang	O	O
以	yi	O	O
来	lai	O	O
，	，	O	O
神	shen	O	O
清	qing	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
可	ke	O	O
，	，	O	O
饮	yin	O	O
食	shi	O	O
可	ke	O	O
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
3	3	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
神	shen	O	O
清	qing	O	O
、	、	O	O
语	yu	O	O
利	li	O	O
，	，	O	O
扶	fu	O	O
入	ru	O	O
病	bing	O	O
室	shi	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
，	，	O	O
血	xie	O	O
压	ya	O	O
1	1	O	O
0	0	O	O
0	0	O	O
/	/	O	O
8	8	O	O
0	0	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
，	，	O	O
头	tou	O	O
顶	ding	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
皮	pi	O	O
肤	fu	O	O
破	po	SB	O
损	sun	SE	O
，	，	O	O
下	xia	O	O
口	kou	O	O
唇	chun	O	O
皮	pi	O	O
肤	fu	O	O
破	po	SB	O
溃	kui	SE	O
，	，	O	O
出	chu	SB	SB
血	xie	SE	SE
，	，	O	O
左	zuo	O	O
颈	jing	O	O
部	bu	O	O
可	ke	O	O
见	jian	O	O
1	1	O	O
条	tiao	O	O
皮	pi	O	O
肤	fu	O	O
挫	cuo	SB	O
伤	shang	SE	O
痕	hen	O	O
，	，	O	O
周	zhou	O	O
围	wei	O	O
轻	qing	O	O
度	du	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
长	chang	O	O
度	du	O	O
约	yue	O	O
5	5	O	O
c	c	O	O
m	m	O	O
，	，	O	O
渗	shen	SB	SB
血	xie	SE	SE
，	，	O	O
左	zuo	O	O
胸	xiong	O	O
部	bu	O	O
可	ke	O	O
见	jian	O	O
7	7	O	O
c	c	O	O
m	m	O	O
皮	pi	O	O
肤	fu	O	O
抓	zhua	O	O
伤	shang	O	O
痕	hen	O	O
，	，	O	O
周	zhou	O	O
围	wei	O	O
轻	qing	O	O
度	du	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
渗	shen	SB	SB
血	xie	SE	SE
，	，	O	O
右	you	O	O
上	shang	O	O
肢	zhi	O	O
可	ke	O	O
见	jian	O	O
多	duo	O	O
处	chu	O	O
皮	pi	O	O
肤	fu	O	O
抓	zhua	O	O
伤	shang	O	O
痕	hen	O	O
，	，	O	O
周	zhou	O	O
围	wei	O	O
轻	qing	O	O
度	du	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
右	you	O	O
膝	xi	O	O
外	wai	O	O
侧	ce	O	O
可	ke	O	O
见	jian	O	O
7	7	O	O
c	c	O	O
m	m	O	O
皮	pi	O	O
肤	fu	O	O
抓	zhua	O	O
伤	shang	O	O
痕	hen	O	O
，	，	O	O
四	si	O	O
肢	zhi	O	O
活	huo	O	O
动	dong	O	O
尚	shang	O	O
可	ke	O	O
，	，	O	O
神	shen	O	O
经	jing	O	O
系	xi	O	O
统	tong	O	O
未	wei	O	O
见	jian	O	O
病	bing	O	O
理	li	O	O
征	zheng	O	O
。	。	O	O
4	4	O	O
辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
头	tou	O	O
颅	lu	O	O
C	C	O	O
T	T	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O

1	1	O	O
.	.	O	O
患	huan	O	O
者	zhe	O	O
辛	xin	O	O
安	an	O	O
，	，	O	O
青	qing	O	O
年	nian	O	O
男	nan	O	O
性	xing	O	O
，	，	O	O
既	ji	O	O
往	wang	O	O
体	ti	O	O
健	jian	O	O
，	，	O	O
否	fou	O	O
认	ren	O	O
患	huan	O	O
有	you	O	O
传	chuan	DB	DB
染	ran	DI	DI
病	bing	DE	DE
、	、	O	O
高	gao	DB	DB
血	xie	DI	DI
压	ya	DE	DE
、	、	O	O
冠	guan	DB	DB
心	xin	DI	DI
病	bing	DE	DE
及	ji	O	O
糖	tang	DB	DB
尿	niao	DI	DI
病	bing	DE	DE
史	shi	O	O
，	，	O	O
无	wu	O	O
手	shou	O	O
术	shu	O	O
外	wai	O	O
伤	shang	O	O
史	shi	O	O
及	ji	O	O
药	yao	O	O
物	wu	O	O
过	guo	O	O
敏	min	O	O
史	shi	O	O
。	。	O	O
2	2	O	O
.	.	O	O
患	huan	O	O
者	zhe	O	O
缘	yuan	O	O
于	yu	O	O
3	3	O	O
小	xiao	O	O
时	shi	O	O
前	qian	O	O
与	yu	O	O
他	ta	O	O
人	ren	O	O
发	fa	O	O
生	sheng	O	O
口	kou	O	O
角	jiao	O	O
，	，	O	O
被	bei	O	O
人	ren	O	O
用	yong	O	O
刀	dao	O	O
砍	kan	O	O
伤	shang	O	O
头	tou	O	O
部	bu	O	O
，	，	O	O
伤	shang	O	O
后	hou	O	O
疼	teng	SB	SB
痛	tong	SE	SE
伴	ban	O	O
出	chu	SB	SB
血	xie	SE	SE
，	，	O	O
恶	e	SB	O
心	xin	SE	O
未	wei	O	O
呕	ou	SB	SB
吐	tu	SE	SE
，	，	O	O
无	wu	O	O
意	yi	O	O
识	shi	O	O
障	zhang	O	O
碍	ai	O	O
，	，	O	O
无	wu	O	O
胸	xiong	SB	SB
闷	men	SE	SI
气	qi	SB	SI
短	duan	SE	SE
，	，	O	O
无	wu	O	O
咳	ke	SB	SB
嗽	sou	SE	SE
咳	ke	SB	SB
痰	tan	SE	SE
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
抽	chou	SB	SB
搐	chu	SE	SE
，	，	O	O
饮	yin	O	O
食	shi	O	O
二	er	O	O
遍	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
未	wei	O	O
经	jing	O	O
任	ren	O	O
何	he	O	O
处	chu	O	O
理	li	O	O
，	，	O	O
急	ji	O	O
来	lai	O	O
我	wo	O	O
院	yuan	O	O
诊	zhen	O	O
治	zhi	O	O
，	，	O	O
急	ji	O	O
诊	zhen	O	O
给	gei	O	O
予	yu	O	O
清	qing	O	O
创	chuang	O	O
缝	feng	O	O
合	he	O	O
，	，	O	O
为	wei	O	O
进	jin	O	O
一	yi	O	O
步	bu	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
以	yi	O	O
头	tou	DB	DB
皮	pi	DI	DI
裂	lie	DI	DI
伤	shang	DE	DE
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
3	3	O	O
.	.	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
3	3	O	O
6	6	O	O
.	.	O	O
0	0	O	O
℃	℃	O	O
，	，	O	O
P	P	O	O
8	8	O	O
0	0	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
